评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7440435473078387516,谁我拼玉泽[流泪],,0,2024-11-23 19:29:44,伟伟,https://www.douyin.com/user/MS4wLjABAAAAp-Se55kCAfpnFP3GtpfE9zhAD5vHY6hcxgs2JcQKKoMETaQ4egICBhaUrAP5Q_Pz,Xdp12138,,0,湖南
7158278039938761483,美女中的劳斯莱斯,,7,2022-10-25 10:54:51,用户7404244499269,https://www.douyin.com/user/MS4wLjABAAAANYHepG81w1ufOKPfnFPffLBtL0MXxTtILRegd4cKUIEZYKy_UZz9e22k8AygEUGK,79264522585,,2,陕西
7157564037667160836,我也有酒窝,,5,2022-10-23 12:44:06,小君爱唱歌🎵,https://www.douyin.com/user/MS4wLjABAAAApgb_DouMfjBQ36uyqOZdTv-PdNTrwn6GyqjkHCLh4D6RzTQxy2tzZXuN7-k4WeEZ,dy1992258369,夜深人静是自由，清晨醒来是生活。,2,湖北
7157092219869987621,好高的颜值，大美女,,10,2022-10-22 06:13:32,紫怡拒绝连赞,https://www.douyin.com/user/MS4wLjABAAAA-7RCwyflJFfkztzbOHOTpld-7tWFGzqQ5kwviNb6VY0,,"抖音不倒，陪你到老。感恩遇见
正能量传递《如有侵权请私信立即删除》",2,河南
7437357649517757194,这皮肤状态不要太好[赞][赞][赞],,0,2024-11-15 12:26:13,痣美学萍子招学员,https://www.douyin.com/user/MS4wLjABAAAAmu1f7fg8fmii515UhoVhCr_QGX_-FU_rJ4BJGbp0QaavbxeppRCIXygjUmkLB0eT,Pzi1188,"河北邯郸人，在邢台南和工作
10多年的美业实战经验，分享志疣瘊
感谢你这么好看还关注我
年龄173身高0329体重2191",0,河北
7160244014410449671,女人还是得化妆,,4,2022-10-30 18:03:51,莹莹阿,https://www.douyin.com/user/MS4wLjABAAAAuLLz4-7MV6sRuLzJOKwUHMj47vw90UbWIRGkfozSoNc,150HZ_,,3,山东
7158982591680496399,还有人推玉泽啊[尬笑],,4,2022-10-27 08:28:57,一只,https://www.douyin.com/user/MS4wLjABAAAAtZU7_Ay_WH8VJfwzJOD_dFryocKL2w9JOppFHt59fj4,likemoneyqqqq,,3,陕西
7161350621185999616,不认,,5,2022-11-02 17:38:05,♥,https://www.douyin.com/user/MS4wLjABAAAAD4U4JBOvcUYYLQZk30-2tNbxhmuUstDus8HA3Ef-Cg0,,,1,广东
7157133377542669090,这个好用哦,,5,2022-10-22 08:52:59,风釆依旧,https://www.douyin.com/user/MS4wLjABAAAAoe3RdmdYHEEpjghaJRH6Jt4hHPqmney7rcOejPwomEGvRhouiRgUVE2158L9wMPg,C75606085,💖感恩抖音，感谢大家支持,0,湖南
7156794959314649856,好美,,8,2022-10-21 10:59:43,小鹿同学,https://www.douyin.com/user/MS4wLjABAAAAcSfJ1p3wn1SE92R3IONvLXvKnjbjnNTsOfj-paQ759E,Lulu0304.,"很高兴遇见你🧡
期待下次再见到你🧡",0,河南
7164885619679068941,哪个香秀啊 乡村爱情的吗,,3,2022-11-12 06:15:46,干中学,https://www.douyin.com/user/MS4wLjABAAAAg3CaZZYmscQpYWmq4wO1ih39RxOTlwuKrPfNdtnQ6dVMQPlDH4ex62X1HkCXjsVL,28886704472,,0,浙江
7156183973931680516,看起来挺好的,,6,2022-10-19 19:28:46,绿色家园,https://www.douyin.com/user/MS4wLjABAAAA7LHasIS6oJDYkzoHr0_7WHR0rY5y2Y3Xgw8tsrmJjjcYCxmud1bZZORF8EqNBk78,41372103518,,0,江苏
7156076506778534690,秀是你吗？[看][看],,4,2022-10-19 12:31:47,爱了一个曾经,https://www.douyin.com/user/MS4wLjABAAAAEYXWUx3DVcziCXCt7imeZZ2f2FnFlWn7iFxfPkEWUHlHD3AC7s1pp1XtBAqAWMjk,dydnfm7xh733,,0,江西
7153394367737758464,高级感这方面，还得是我香秀啊[泣不成声][泣不成声][泣不成声][泣不成声],,4792,2022-10-12 07:03:46,无念,https://www.douyin.com/user/MS4wLjABAAAAHTj0u52E9qZpbjUSUmUUsMwZwTVLVl9yb6H5vTgvAkA,I_beside_u,,20,江苏
7158089027308061473,天呐 姐姐好美,,5,2022-10-24 22:41:22,富贵平安走康庄大道,https://www.douyin.com/user/MS4wLjABAAAANvHpt0klNZDy6p58BAR3zGByS_CqNS8IYpsj7iN98QYJETNaj34xRhfq-YJgGfwB,dy5f6sd1pyao,你不懂,0,湖南
7156496303844655879,就我自己感觉笑的时候像女版张彬彬吗[流泪],,6,2022-10-20 15:40:51,KUIO,https://www.douyin.com/user/MS4wLjABAAAAGMyhJVlQpTiSkxJ752WRq7vL4l3F7X4LmwD-7cO_90T-bL32q_xBO5zmvFYQoTWI,Xinwusuoyido,,0,河南
