评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复的评论ID,具体的回复对象,回复给谁
7372533737539027727,浙里萧山,,0,2024-05-24 19:56:22,似水往昔,https://www.douyin.com/user/MS4wLjABAAAA81UwteY1mXcwa2bh5Jc87t9Fh2QnjSzgdqksMotqSWc,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372539168720732966,杭州余杭中泰这边就有，大把种小麦的,,0,2024-05-24 20:17:23,乐莀,https://www.douyin.com/user/MS4wLjABAAAAFms3YH-uyI7BqsG5iK36_q61xJovkaRahjbcpor10imbjE9ZeCihCUnIOMePa5x_,50822808185,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372541629040755491,成都绕城一圈也种了麦子,,1,2024-05-24 20:26:55,不想上班的人,https://www.douyin.com/user/MS4wLjABAAAAaWMvU6vVr9sHV_ZbdgF8OjVq6wYtKnVHmGpTqQwi1v0,dywvehei4buj,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372548367244755751,你去黄岩鉴洋湖看看也有麦田，收完种水稻[灵机一动],,1,2024-05-24 20:53:04,清哥,https://www.douyin.com/user/MS4wLjABAAAA112r3zJvOQE49vf0RFV5r6q9bNCoVVsARfBAAEWpphY,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372548426825597708,哈哈，你多大啊，我小时候绍兴旱地都种,,0,2024-05-24 20:53:20,一方见地-栽,https://www.douyin.com/user/MS4wLjABAAAA6FJvUO_7TghheUfh2YludeiU-W6iJ7z75Uief0QZY2c,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372548519347684105,杭州塘栖镇塘栖工业园也有麦子,,1,2024-05-24 20:53:41,.闲话时光_HE_FEI_,https://www.douyin.com/user/MS4wLjABAAAAc8BQBINrEe76KpY64zrxepl6pvcTi6qK9U0jAKt3Q5sZWAjmf3n1dVI80J4Wy_78,HEFEI0715,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372550790714475316,乔司农场多的很。,,0,2024-05-24 21:02:30,农机深如海,https://www.douyin.com/user/MS4wLjABAAAAxDc42hDS__XrYCg_41evQQJQLLs3C87xr4EMhi--9uQ,,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7372557096292418314,嘉兴那边也种,,0,2024-05-24 21:26:58,林林。,https://www.douyin.com/user/MS4wLjABAAAAkfi-idHFOhaRLNTrbXe_4bWPc2JVNhNdR4tKfz12B2E,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372561989995922216,这两年开始有了，村里的地基本都收完了,,0,2024-05-24 21:45:56,懵,https://www.douyin.com/user/MS4wLjABAAAAlVkqUUTz_yBvEQD13mKQPQDTT2_7iVUtKyTa-jaxF3uGcYqFej4OWwp7cD6ELoPa,meng54681,,7372416400692855591,7372468958706320179,尚美秀shangmeishow
7372570909757948735,福建莆田，九几年田地里一年到头就没荒过，两季水稻一季小麦，还有种甘蔗，那时候小学还有7天农忙假。,,0,2024-05-24 22:20:33,梦为鱼,https://www.douyin.com/user/MS4wLjABAAAA4YzfOk17IldXR1P5_YojBxDcHxZRHtx4kZ7hH5c5GyQy9UP9CrgT6Aittf9PWEf5,74174977696,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372579473646830345,湖州，嘉兴，绍兴，杭州多的是,,0,2024-05-24 22:53:48,@蓝色的港湾,https://www.douyin.com/user/MS4wLjABAAAAtvSuj9BlrU4jJsXKsaZqHY8SWYX-_ZaDWVnHKq-q6Vw,86349542H,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372581590462153482,我在苏州呆了5年咋没见过小麦,,0,2024-05-24 23:02:03,Light༓Z,https://www.douyin.com/user/MS4wLjABAAAAPqnKfczfdk1XkZjOEUmfOoYP61iDhXQzHmPJ-TINLLE,045657410vhj,,7372416400692855591,7372532818445157147,天平路
7372588325343806235,嘉兴更多！[捂脸][捂脸][捂脸],,0,2024-05-24 23:28:11,挑战者-David”,https://www.douyin.com/user/MS4wLjABAAAAZxy7Dd68DEXISmSIwjgfBwcDOM2XBAlrqOMFe-C8bj0,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372588900650566437,豫杭你不知道啊？以前南宋时期，开封洛阳达官贵人把小麦技术就带来了！[捂脸][捂脸],,1,2024-05-24 23:30:23,挑战者-David”,https://www.douyin.com/user/MS4wLjABAAAAZxy7Dd68DEXISmSIwjgfBwcDOM2XBAlrqOMFe-C8bj0,,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372597440434897727,我在湖州安吉县的时候就很多地方种小麦，,,0,2024-05-25 00:03:36,Mr. Zhang,https://www.douyin.com/user/MS4wLjABAAAABODAwndFzr63EfaYevgo-6QBW2HZszenZ_L6kI8t3HY,912133925zz,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372598017239499559,真有[捂脸],,0,2024-05-25 00:05:51,林强,https://www.douyin.com/user/MS4wLjABAAAAqBeS_GxreKJceh_O5JWPqqSEHtfcUZDMmWLfrEnZAiw,linqiang9114,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372724985524126527,宁波都有不少小麦[尬笑],,0,2024-05-25 08:18:31,用户8991490784543,https://www.douyin.com/user/MS4wLjABAAAAHSAbVicCYNTiB_Vw6dJofyHxYd5Xzi-Jbz_s9wY0grc,33708996112,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372725008210871092,整个浙北平原都种麦子的,,0,2024-05-25 08:18:36,夜羽🏸,https://www.douyin.com/user/MS4wLjABAAAADgExvu5CYIVufw8zXm0sjNS7dFedPL8J-OwUKkF2BAo,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372725066415702820,[尬笑]我老家淮河边上都肿小麦,,0,2024-05-25 08:18:51,用户8991490784543,https://www.douyin.com/user/MS4wLjABAAAAHSAbVicCYNTiB_Vw6dJofyHxYd5Xzi-Jbz_s9wY0grc,33708996112,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
7372727019807081253,活了30年第一次听说一样[捂脸][捂脸][捂脸],,0,2024-05-25 08:26:22,葡萄  —,https://www.douyin.com/user/MS4wLjABAAAAubQOUlNVCWSyWwrBwvJ7Xo5yZK_vDvb3fcZ52CrW6RM,bb114346,,7372416400692855591,7372461456702374691,香蕉君倒拔鲁智深
7372730448001270565,义乌就有呀,,0,2024-05-25 08:39:42,风的@爱恋,https://www.douyin.com/user/MS4wLjABAAAA8acMRBGPVU7fVyMj4tiwkAX2UCJl5We5EAE7Au76k1M,,,7372416400692855591,7372469233759929088,香蕉君倒拔鲁智深
